company,policy_date,policy_url,policy_path
verizon,2001-04-19 00:00:00,http://web.archive.org/web/20020606030746/http://www22.verizon.com:80/privacy/,verizon/verizon-2001-04-19.txt
verizon,2003-01-23 00:00:00,http://web.archive.org/web/20030201124024/http://www22.verizon.com:80/Privacy/,verizon/verizon-2003-01-23.txt
verizon,2004-01-30 00:00:00,http://web.archive.org/web/20040403172637/http://www22.verizon.com:80/privacy/,verizon/verizon-2004-01-30.txt
verizon,2004-07-10 00:00:00,http://web.archive.org/web/20040804170439/http://www22.verizon.com:80/Privacy/,verizon/verizon-2004-07-10.txt
verizon,2004-11-10 00:00:00,http://web.archive.org/web/20041206093315/http://www22.verizon.com:80/privacy/,verizon/verizon-2004-11-10.txt
verizon,2005-01-10 00:00:00,http://web.archive.org/web/20050113094104/http://www22.verizon.com:80/privacy/,verizon/verizon-2005-01-10.txt
verizon,2005-07-10 00:00:00,http://web.archive.org/web/20050831073518/http://www22.verizon.com:80/privacy/,verizon/verizon-2005-07-10.txt
verizon,2006-01-10 00:00:00,http://web.archive.org/web/20060111065008/http://www22.verizon.com:80/privacy/,verizon/verizon-2006-01-10.txt
verizon,2009-06-10 00:00:00,http://web.archive.org/web/20100110214444/http://www22.verizon.com:80/privacy?,verizon/verizon-2009-06-10.txt
verizon,2011-09-10 00:00:00,http://web.archive.org/web/20120703050620/http://www22.verizon.com:80/about/privacy/,verizon/verizon-2011-09-10.txt
verizon,2013-11-10 00:00:00,http://web.archive.org/web/20131130231007/https://www.verizon.com/about/privacy/,verizon/verizon-2013-11-10.txt
verizon,2013-11-10 00:00:00,http://web.archive.org/web/20140929190858/http://www.verizon.com/about/privacy/,verizon/verizon-2013-11-10.txt
verizon,2015-06-10 00:00:00,http://web.archive.org/web/20150701144929/http://www.verizon.com:80/about/privacy/,verizon/verizon-2015-06-10.txt
verizon,2015-12-10 00:00:00,http://web.archive.org/web/20160402161814/http://www.verizon.com/about/privacy/full-privacy-policy,verizon/verizon-2015-12-10.txt
verizon,2016-05-10 00:00:00,http://web.archive.org/web/20160527162619/http://www.verizon.com:80/about/privacy/full-privacy-policy,verizon/verizon-2016-05-10.txt
verizon,2016-11-10 00:00:00,http://web.archive.org/web/20170105202008/http://www.verizon.com:80/about/privacy/full-privacy-policy,verizon/verizon-2016-11-10.txt
verizon,2017-02-10 00:00:00,http://web.archive.org/web/20170226170824/http://www.verizon.com/about/privacy/full-privacy-policy,verizon/verizon-2017-02-10.txt
verizon,2017-06-10 00:00:00,http://web.archive.org/web/20170624080121/http://www.verizon.com:80/about/privacy/full-privacy-policy,verizon/verizon-2017-06-10.txt
verizon,2017-12-10 00:00:00,http://web.archive.org/web/20171227004522/http://www.verizon.com/about/privacy/full-privacy-policy,verizon/verizon-2017-12-10.txt
verizon,2018-01-10 00:00:00,http://web.archive.org/web/20180214055857/http://www.verizon.com:80/about/privacy/full-privacy-policy,verizon/verizon-2018-01-10.txt
verizon,2018-04-10 00:00:00,http://web.archive.org/web/20180504060448/http://www.verizon.com:80/about/privacy/full-privacy-policy,verizon/verizon-2018-04-10.txt
verizon,2018-05-10 00:00:00,http://web.archive.org/web/20180527172606/http://www.verizon.com/about/privacy/full-privacy-policy,verizon/verizon-2018-05-10.txt
verizon,2018-07-10 00:00:00,http://web.archive.org/web/20180826094553/https://www.verizon.com/about/privacy/full-privacy-policy,verizon/verizon-2018-07-10.txt
